Date,High,Low,Open,Close,Volume,Adj Close
29/06/2010,116.4800034,106.0100021,116.2600021,108.6100006,12866300,108.6100006
30/06/2010,112.6800003,108.1100006,108.5800018,109.2600021,9740700,109.2600021
01/07/2010,111.6900024,106.6999969,108.9000015,110.9599991,8529800,110.9599991
02/07/2010,111.2900009,108.5599976,110.9199982,109.1399994,4477100,109.1399994
06/07/2010,112.5299988,109,110.6500015,110.0599976,5219300,110.0599976
07/07/2010,113.6299973,109.8099976,109.8399963,113.4300003,4941000,113.4300003
08/07/2010,117.4800034,114.0699997,115.0199966,116.2200012,6775000,116.2200012
09/07/2010,117.4000015,114.6500015,116.5500031,117.2600021,4065100,117.2600021
12/07/2010,119.6999969,117.3199997,117.8099976,119.5100021,4783600,119.5100021
13/07/2010,124.8799973,120.3000031,120.6900024,123.6500015,7091100,123.6500015
14/07/2010,123.75,121.4700012,123.0299988,123.3000031,5257000,123.3000031
15/07/2010,122.4800034,119.2600021,120.1299973,122.0599976,6047700,122.0599976
16/07/2010,121.9199982,118.0100021,121.2799988,118.4899979,6227900,118.4899979
19/07/2010,120.7399979,117,118.3799973,119.9400024,5030900,119.9400024
20/07/2010,120.7099991,117.5100021,120.6100006,120.0999985,6785000,120.0999985
21/07/2010,121.25,117.2600021,120.6200027,117.4300003,5011700,117.4300003
22/07/2010,120.8700027,118.0199966,118.7099991,120.0699997,15003400,120.0699997
23/07/2010,119.2799988,105.8000031,105.9300003,118.8700027,42421100,118.8700027
26/07/2010,118.5999985,114.8799973,118.2600021,118.4000015,11137800,118.4000015
27/07/2010,118.5,115.0699997,118.4300003,117.1299973,7796100,117.1299973
28/07/2010,118.1999969,116.4000015,117,117.1299973,5472300,117.1299973
29/07/2010,118.8700027,115.5199966,117.9899979,116.8600006,6175800,116.8600006
30/07/2010,118.7399979,114.5100021,115.5299988,117.8899994,7077500,117.8899994
02/08/2010,120.3799973,117.5699997,119.1500015,120.0699997,5443700,120.0699997
03/08/2010,122.8700027,119.6800003,120,122.4199982,5953800,122.4199982
04/08/2010,128.4700012,123,123.0599976,127.5800018,9270800,127.5800018
05/08/2010,128,125.8199997,126.7699966,127.8300018,4282300,127.8300018
06/08/2010,128.3999939,125.9000015,126.7200012,128.3200073,5065200,128.3200073
09/08/2010,129.9299927,127.8499985,128.4600067,128.8300018,5085800,128.8300018
10/08/2010,130,127.3799973,127.9499969,130,5706900,130
11/08/2010,128.1199951,125.1999969,128.1000061,125.8899994,5541700,125.8899994
12/08/2010,127,123.5500031,123.7600021,126.5599976,4367900,126.5599976
13/08/2010,127.4800034,124.2600021,126.0599976,124.6900024,3976600,124.6900024
16/08/2010,127.3700027,123.0400009,123.6100006,126.0699997,4024700,126.0699997
17/08/2010,129.9799957,126.7900009,127.3399963,128.8600006,5044700,128.8600006
18/08/2010,130.8099976,128.2599945,129.25,129.6499939,7901500,129.6499939
19/08/2010,130.0200043,126.8199997,129.2200012,127.5699997,5582500,127.5699997
20/08/2010,128.0399933,126.0199966,127.1999969,127.7600021,4170100,127.7600021
23/08/2010,129.2200012,126.5,127.8600006,126.5999985,3861300,126.5999985
24/08/2010,125.4400024,123.1800003,125.4100037,124.5299988,5369700,124.5299988
25/08/2010,127.3700027,123.8300018,123.8499985,126.8499985,5344500,126.8499985
26/08/2010,127.5899963,124.8199997,127.1500015,124.8600006,4694500,124.8600006
27/08/2010,126.6399994,122.25,125.4599991,126.6399994,5080000,126.6399994
30/08/2010,126.9499969,123.6900024,126.0299988,123.7900009,3426000,123.7900009
31/08/2010,125.9000015,122.5,122.8499985,124.8300018,4225600,124.8300018
01/09/2010,132.6000061,126.1699982,126.3600006,132.4900055,7138300,132.4900055
02/09/2010,135.2100067,132.0500031,132.1699982,135.2100067,5407400,135.2100067
03/09/2010,139.5,136.6300049,136.8899994,138.7899933,6581200,138.7899933
07/09/2010,138.6000061,136.8899994,137.5599976,137.2200012,3883000,137.2200012
08/09/2010,139.6999969,136.4499969,137.9299927,139.1399994,5828500,139.1399994
09/09/2010,141.3699951,139.2599945,140.3899994,140.3800049,4958000,140.3800049
10/09/2010,142.6000061,140.0399933,140.75,142.4400024,5043600,142.4400024
13/09/2010,145.7400055,143.7599945,144.0700073,145.0700073,5077400,145.0700073
14/09/2010,146.6999969,143.8300018,144.5,145.75,4319400,145.75
15/09/2010,145.6199951,143.5599976,144.8800049,145.4499969,4903600,145.4499969
16/09/2010,148.2299957,145.1600037,145.3999939,148.1300049,5827000,148.1300049
17/09/2010,148.9799957,146.5,148.8999939,148.3200073,7259600,148.3200073
20/09/2010,151.9499969,147.3500061,148.6999969,151.3000031,6449400,151.3000031
21/09/2010,153.3099976,149.6000061,150.7599945,150.7299957,7542000,150.7299957
22/09/2010,152.6999969,149.1000061,149.8399963,151.8300018,6612400,151.8300018
23/09/2010,155.9199982,150.9700012,151.1999969,152.8500061,7065600,152.8500061
24/09/2010,160.8899994,155.4199982,155.4299927,160.7299957,10590600,160.7299957
27/09/2010,161.1999969,157.8800049,160.2200012,159.3699951,6446300,159.3699951
28/09/2010,160.8800049,154.8899994,159.8399963,159.6999969,8494200,159.6999969
29/09/2010,161.7799988,157.75,159.0299988,158.9900055,7287500,158.9900055
30/09/2010,160.9299927,155.6000061,160.0099945,157.0599976,7606000,157.0599976
01/10/2010,157.4400024,152.1999969,157.0800018,153.7100067,8683400,153.7100067
04/10/2010,155.9600067,152.7899933,153.9499969,155.3899994,5346500,155.3899994
05/10/2010,161.2100067,157.0099945,157.0800018,160.8699951,5620000,160.8699951
06/10/2010,160.6799927,154.6000061,160.6000061,155.3999939,6060800,155.3999939
07/10/2010,157.3999939,153.3899994,156.5099945,156.2700043,4622000,156.2700043
08/10/2010,156.2799988,152.7799988,155.1799927,155.5500031,6918400,155.5500031
11/10/2010,156.6300049,152.3399963,154.8899994,153.0299988,4486400,153.0299988
12/10/2010,156.9499969,151.3999939,152.5099945,156.4799957,5280800,156.4799957
