Date,ATVI,ADBE,AMD,ALXN,ALGN,GOOGL,GOOG,AMZN,AAL,AMGN,ADI,AAPL,AMAT,ASML,ADSK,ADP,BIDU,BIIB,BMRN,BKNG,AVGO,CDNS,CELG,CERN,CHTR,CHKP,CTAS,CSCO,CTXS,CTSH,CMCSA,COST,CSX,CTRP,DLTR,EBAY,EA,EXPE,FB,FAST,FISV,FOX,GILD,HAS,HSIC,IDXX,ILMN,INCY,INTC,INTU,ISRG,JBHT,KLAC,LRCX,LBTYA,LBTYK,LULU,MAR,MXIM,MELI,MCHP,MU,MSFT,MDLZ,MNST,MYL,NTAP,NTES,NFLX,NVDA,ORLY,PCAR,PAYX,PYPL,PEP,QCOM,REGN,ROST,SIRI,SWKS,SBUX,SYMC,SNPS,TMUS,TTWO,TSLA,TXN,KHC,ULTA,UAL,VRSN,VRSK,VRTX,WBA,WDC,WLTW,WDAY,WYNN,XEL,XLNX
04/01/2010,10.19322491,37.09000015,9.699999809,24.125,18.5,313.6886902,311.3499756,133.8999939,4.55716753,48.35065842,24.7640152,20.38607216,11.79042244,25.3793335,25.67000008,29.13670731,41.00299835,53.63999939,18.95000076,223.9600067,16.11751556,6.119999886,27.87000084,21.06749916,,34.11000061,22.85872459,19.5216465,33.8891983,22.88064575,6.294865608,46.44340897,12.87499142,18.125,16.05666733,10.02144909,18.14999962,34.83864594,,16.15924072,12.35750008,13.1158247,19.50564194,25.01173592,20.95294189,27.04000092,30.54999924,9.5,15.61162281,28.30140495,102.9233322,30.02032471,22.82764626,36.94351578,11.24169636,10.96500015,15.45499992,23.18019676,14.9908762,49.02159119,21.7739048,10.85000038,24.61580086,14.7760334,6.546666622,18.71999931,30.33797073,37.2072258,7.639999866,17.07806778,38.5,27.04795265,22.06931686,,46.2193985,36.20679092,24.62999916,8.731782913,0.625977814,13.89271927,9.241555214,13.09834862,22.44000053,12.96144295,10.39999962,,20.59389877,,18.64141464,12.80000019,21.00799751,29.79204369,44.24000168,30.47002029,37.02955627,63.17049026,,46.59516144,14.79073906,20.3491497
05/01/2010,10.21126652,37.70000076,9.710000038,23.78000069,18.01000023,312.307312,309.9788818,134.6900024,5.07307291,47.93180084,24.72492409,20.42132187,11.6997261,25.57703972,25.28000069,28.98023796,40.59000015,53.38000107,19.14999962,226.5599976,16.23716164,6.059999943,27.54500008,22.3125,35,33.81999969,22.82407951,19.43467712,33.91292953,23.13976479,6.20954895,46.30268478,13.21491528,19.13750076,15.85333347,9.916622162,18.65999985,34.98707199,,16.49373436,12.40999985,13.05953503,19.48762512,24.7350235,20.89411736,27.08499908,30.35000038,10.27000046,15.6041441,28.30140495,102.4599991,30.10204697,22.57415009,36.69339752,11.23147678,10.94999981,15.91499996,23.31443024,14.78602219,50.27159882,21.43065834,11.17000008,24.6237545,15.49786758,6.571666718,18.52000046,29.80558014,37.37691879,7.358571529,17.3274498,38.56000137,27.53557205,22.05499458,,46.7779007,37.07840347,25.10000038,8.89132309,0.6644997,14.10832882,9.458060265,13.0271616,22.25,12.99396896,10.47000027,,20.47513008,,18.55241013,13.90999985,21.22877693,29.99165344,42.77999878,30.22495842,38.01131821,63.02892685,,49.42904282,14.61532879,20.09257889
06/01/2010,10.15714359,37.61999893,9.569999695,23.84000015,17.47999954,304.4344482,302.1647034,132.25,4.86288929,47.57161713,24.67800522,20.09649086,11.67499065,25.8113575,25.34000015,28.91221237,41.25,53.43000031,19.18000031,219.0800018,16.36534882,6.130000114,28.19499969,22.54750061,35,34,22.88471222,19.3081646,33.7784462,23.13976479,6.165037632,46.90463638,13.25707817,18.73250008,16.78333282,9.853726387,18.18000031,33.19252014,,17.58177567,12.35750008,13.25253296,20.16333961,24.71196365,20.96078491,27.14999962,32.22000122,11,15.5518055,27.90640831,103.9466629,29.92043495,22.48758888,36.52665329,11.88553905,11.55500031,16.25,23.38154221,14.62506771,49.68051147,21.25156975,11.22000027,24.47263145,15.60560226,6.708333492,18.34000015,29.59260941,37.42158127,7.617142677,17.43828964,38.38999939,27.89758682,22.23400879,,46.30996704,36.71587372,24.71999931,9.028367996,0.6644997,13.97708797,9.389901161,13.06987476,22.20999908,12.11577797,10.43999958,,20.32469559,,19.0073185,13.27000046,20.999506,30.38089752,42.02999878,29.99622154,38.04405594,64.04360962,,48.7806778,14.64339161,19.95627975
07/01/2010,9.91358757,36.88999939,9.470000267,23.93000031,17.43000031,297.3473511,295.1304626,130,5.006195068,47.13601685,24.48251915,20.05933762,11.55131626,25.09376526,25.47999954,28.8985939,40.46300125,52.99000168,20.26000023,216.1300049,16.2627964,6.25,27.94499969,22.68000031,35,33.91999817,23.08393478,19.39513969,33.7468071,22.26462936,6.294865608,46.67791748,13.16485119,18.27750015,16.67333412,9.740512848,18.04000092,33.01709747,,17.88166046,12.30000019,13.14799118,20.21289063,24.35838127,21.03529358,28.18000031,32.77000046,10.81999969,15.40227318,27.81455421,103.5566635,30.03848457,22.61124992,36.46179581,11.88553905,11.59000015,16.15500069,23.47382545,14.54458427,48.701828,21.13964272,10.84000015,24.21812439,15.56790066,6.681666851,18.03000069,29.52163506,36.22480392,7.485714436,17.09654236,38.27000046,28.26699257,22.58488846,,46.01563263,37.78033829,24.56999969,9.398579597,0.645238817,13.81772614,9.365844727,13.04140091,22.14999962,12.22961807,10.39000034,,20.38803673,,20.62917137,13.55000019,20.71079445,30.33099365,41.5,30.17592812,37.29954529,63.85484695,,49.82242966,14.58024311,19.75583267
08/01/2010,9.832404137,36.68999863,9.430000305,23.97500038,17.65999985,301.3113098,299.0648804,133.5200043,4.910657883,47.55485153,24.62326813,20.19270134,11.99655151,24.49333191,26.26000023,28.85778618,40.42699814,54.08000183,20.25,216.2100067,16.38244438,6.340000153,28.63500023,22.63249969,33.5,33.59000015,23.30914307,19.49792671,34.66444016,22.90998077,6.276319027,46.34177399,13.80253696,18.19499969,16.44333267,9.857918739,18.39999962,32.70676422,,18.06236458,12.16250038,13.20428276,20.06423759,24.41987228,21.16078377,27.95499992,33.15000153,10.93999958,15.57423973,28.54941368,102.9866638,30.91021729,22.9513092,37.37890244,12.23300934,11.92000008,16.13500023,23.52416229,14.6323843,48.94407654,21.26649284,11.10000038,24.38514519,15.58405781,6.715000153,17.42000008,29.7612133,35.54602814,7.614285946,17.13348198,37.93000031,28.30394173,22.59920692,,45.86468506,38.15829086,24.37000084,9.216540337,0.645238817,14.06145763,9.333770752,13.07699394,22.30999947,11.54658031,10.42000008,,20.85518456,,21.3708725,13.32999992,20.87213516,29.94175148,40.66999817,30.21678162,37.48770905,63.78406525,,49.46547318,14.58726215,20.04447365
11/01/2010,9.823382378,36.20999908,9.140000343,23.82999992,17.54000092,300.8558655,298.6128235,130.3099976,4.815119267,47.76427078,24.48251915,20.01456833,12.26038933,23.97344208,26.25,28.98703766,40.05699921,53.90000153,20.11000061,218.9100037,16.48500061,6.340000153,28.63500023,22.17499924,33.5,33.68000031,23.21386337,19.44257927,33.61232758,22.7241993,6.235513687,46.39649582,13.66551781,18.40999985,16.35333252,9.832760811,18.27000046,32.4234314,,17.70864868,12.22749996,13.24449158,20.22190285,24.39682007,21.85882378,28.88500023,33.81999969,11.09000015,15.66396523,28.67801476,103.7633362,31.36423492,22.85237694,38.3793869,12.10526276,11.81499958,15.90499973,23.47382545,14.50800991,44.23474503,21.23664474,10.89999962,24.07496643,15.51403046,6.715000153,17.77000046,29.22879982,34.84046936,7.604285717,16.89333916,38.13000107,28.76939392,22.73526001,,45.81185532,38.01944351,24.84000015,9.261541367,0.6644997,14.07083321,9.30570507,13.06987476,22.12000084,11.69294548,10.68000031,,20.58598137,,21.04452515,13.10999966,20.81269455,29.87188721,41.83000183,30.26579666,37.52861023,64.42119598,,49.30519867,14.72759056,19.83600807
12/01/2010,9.715135574,35.65999985,8.649999619,23.5,17.22999954,295.5355225,293.3321533,127.3499985,4.853335381,46.93496704,23.4659996,19.78690338,11.70797062,24.01005363,25.88999939,28.78296852,38.64899826,53.25,19.71999931,213.9799957,16.23716164,6.199999809,28.49500084,21.75499916,33.5,33.75,22.90203667,19.13422585,33.22470474,23.07620621,6.124233723,46.14634323,13.36248398,17.70000076,16.5466671,9.723740578,16.85000038,31.41145706,,17.70480728,12.11999989,12.77807903,20.24892998,24.01249313,21.55294037,28.84000015,39.16999817,10.35999966,15.40975094,28.67801476,101.4633331,30.61054802,22.05477715,35.8874588,11.83444023,11.55500031,15.67500019,23.27248001,13.91539574,43.60490036,20.88593292,10.26000023,23.91589546,15.77797794,6.663333416,17.40999985,28.79401207,34.26887894,7.481428623,16.32068634,38.84999847,28.6881237,22.65649605,,46.45336533,37.40239716,24.51000023,9.296310425,0.654869258,13.78960228,9.149341583,13.14817905,21.79999924,10.32687092,10.18999958,,19.72294998,,20.90607262,12.68999958,20.53247452,30.10144043,41.79000092,30.01256371,36.56320572,64.58638,,49.52376175,14.90299988,19.28278351
13/01/2010,9.841424942,36.27999878,9.149999619,23.56999969,17.57999992,293.8388367,291.6481018,129.1100006,5.235486984,47.35381317,23.45818138,20.06600571,11.76568604,24.6763916,26.25,28.99383926,43.94800186,54.08000183,20.29000092,214.3000031,15.74149513,6.389999866,28.84000015,22.08749962,32.75,33.86000061,23.25717354,19.48211098,33.61232758,23.84867096,6.220676899,46.43559265,13.44416714,17.54249954,16.46666718,9.895656586,17.17000008,31.80274391,,17.95086288,12.22249985,12.70570183,20.501194,24.35838127,22.12156868,29.57500076,40.50999832,10.32999992,15.67143822,29.00870705,102.0133362,30.74675751,22.31446266,35.99863052,11.85999012,11.56000042,16.15999985,23.5996666,14.14951324,43.82775879,21.06501961,10.46000004,24.13859177,15.74566269,6.760000229,17.80999947,29.92980576,34.25100327,7.708571434,16.54235649,38.97999954,28.81371689,22.67081451,,46.83073425,37.56437302,24.64999962,9.394489288,0.645238817,14.10832882,9.373861313,13.30478954,22.01000023,10.29434586,10.35999966,,19.81004715,,21.07419205,13.94999981,20.71928596,30.09145927,42.72000122,30.29028893,37.19318008,64.72795105,,50.55822372,15.13454247,19.45115852
14/01/2010,9.796320915,35.90000153,9,23.83499908,17.12999916,295.2202148,293.0191956,127.3499985,5.34057951,47.04385757,23.43471527,19.94979668,11.83164883,24.50797462,26.60000038,28.91221237,46.42300034,54.36000061,20.42000008,208.7700043,15.75004578,6.320000172,29.06500053,22.04999924,32.75,34.09999847,23.1099205,19.72722054,34.0711441,23.52111244,6.183586121,45.90400314,13.32031822,18.33499908,16.41666603,9.593755722,17.18000031,31.11461258,,17.80091858,12.1875,12.72982979,20.47867393,24.61203194,22.01568604,29.81500053,39.02999878,10.15999985,16.06023216,29.19242668,102.6666641,31.50953484,21.64051247,35.51691055,11.77312183,11.51000023,15.93000031,24.90842438,14.09829998,41.88008499,20.91578102,10.72999954,24.6237545,15.68640995,6.753333569,17.87000084,29.85881805,34.9565773,7.284285545,16.28373528,38.79000092,28.76198578,22.44883537,,47.39678192,37.30980682,24.62000084,9.326992035,0.654869258,14.37080956,9.442020416,13.36885834,22.19000053,10.13171768,10.14999962,,19.5646019,,20.2138195,13.93000031,20.65984535,29.8519268,41.29999924,30.31480789,37.44680786,64.58638,,52.53248215,15.16261196,19.33089256
15/01/2010,9.823382378,35.86999893,8.840000153,23.70499992,16.93000031,290.2902832,288.1260071,127.1399994,5.25459528,47.1192627,22.6449604,19.61639023,11.32045269,23.96611786,26.07999992,28.7557373,46.76800156,54.18000031,20.80999947,208.7700043,15.58767796,6.21999979,28.76000023,21.76000023,32.25,34.40999985,22.72879791,19.29235268,34.18980408,23.42821693,6.168745995,45.95872116,13.18593025,18.1875,16.45666695,9.42183876,17.03000069,30.66934586,,17.63175964,11.98499966,12.48858261,20.50570107,24.71965218,21.80392075,29.54999924,39.02000046,9.859999657,15.5518055,28.89847755,102.8600006,30.89205742,20.61413383,34.10883331,11.6249361,11.35499954,15.56999969,24.58124352,13.64469814,40.8432579,20.43821716,10.13000011,24.54421234,15.93419838,6.741666794,18.20000076,29.41514969,33.32217026,7.278571606,15.80344963,38.20999908,28.07489967,21.96190643,,47.01187134,37.43322372,23.87999916,9.179722786,0.645238817,13.85522461,9.329762459,13.41868782,21.96999931,10.27808285,10.07999992,,19.39832687,,20.12481499,13.25,20.3626442,28.8937912,40.20999908,29.89818382,35.98231125,63.83123779,,51.35956955,15.0222826,18.85784531
